nombre,upc,precio,imagen
Caltrate 600 D Tab 60,30005550163,$175.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30005550163_00.jpg
Caltrate 600M30 51 G 30 Past,30005550233,$93.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30005550233_00.jpg
Caltrate600M Tab 60,30005550263,$160.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30005550263_00.jpg
Provera 5 Mg Tab C24,30009028620,$226.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009028620_00.jpg
Lincocin Ped 300Mg Jgaprell6X1,30009055541,$374.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009055541_00.jpg
Lincocin 600 Mg Jga Prell 6X2,30009055636,$525.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009055636_00.jpg
Dalacin T Sol Top 30Ml 2,30009311601,$217.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009311601_00.jpg
Dalacin T Gel 30 G,30009333102,$243.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009333102_00.jpg
Dramamine Tab C24 0,30009364209,$76.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009364209_00.jpg
Dramamine Jbe 120Ml,30009364404,$77.95,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009364404_00.jpg
Dramamine Inf Sups C4,30009371601,$37.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009371601_00.jpg
Microlax 4 Enemas,30009841663,$78.95,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30009841663_00.jpg
Optifree Express Sol 355Ml,30065014409,$133.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30065014409_00.jpg
Optifree Express Sol 120Ml,30065014417,$85.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/0/30065014417_00.jpg
Renu Plus No Rub Sol120Ml,31011903322,$61.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/1/31011903322_00.jpg
Renu Plus No Rob Sol355Ml,31011903334,$109.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/1/31011903334_00.jpg
Renu Plus No Rub Sol 60Ml,31011903434,$40.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/1/31011903434_00.jpg
Renu Plus Lubrehumect Gst 8Ml,31011905213,$56.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/1/31011905213_00.jpg
Nytol 50 Mg 8 Capsulas,31015809674,$85.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/1/31015809674_02.jpg
Seretide Evo Cd 25250 Mcg Dos,339337003740,$615.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/3/339337003740_00.jpg
Metrogel Gel Tb 30 G,349932000116,$349.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/4/349932000116_00.jpg
Desowen 0.05% Cra 30 G,349932000120,$249.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/4/349932000120_00.jpg
Benzac A C Gel 10% Tb 60 G,349932000133,$210.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/4/349932000133_00.jpg
Nutracort Cra 60 G,349932000134,$241.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/4/349932000134_00.jpg
Adaferin 0.1% Cra 30G,349932000194,$382.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/4/349932000194_00.jpg
Medidor De Glucosa Onetouch Select Simpl,35388500719,$431.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35388500719_01.jpg
Derman Cra 25 G,35431222501,$19.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431222501_00.jpg
Derman Cra 50 G,35431222502,$32.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431222502_00.jpg
Vitacilina Ung 28 G,35431222513,$24.95,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431222513_00.jpg
Vitacilina Ung 16 G .,35431222514,$14.95,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431222514_00.jpg
Vitacilina Bebe Pom 50G,35431222516,$35.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431222516_00.jpg
Derman Pvo 80 G,35431242501,$30.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431242501_02.jpg
Derman Tco Desod 80 G,35431242510,$23.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431242510_01.jpg
Derman Tco Desod 80 Grs Floral,35431242520,$23.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431242520_00.jpg
Dernab Menta 80 G Polvo,35431242530,$23.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431242530_00.jpg
Derman Kids 80 G Polvo,35431242540,$23.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431242540_00.jpg
Rocainol Bmo 45 Grs,35431262501,$36.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/35431262501_00.jpg
Arcalion 200 Mg Cpr Recub 20,359445040009,$261.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/359445040009_00.jpg
Natrilixsr 1.5 Mg Comp 30,359445520016,$514.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/359445520016_00.jpg
Elatec 500 Mg Grag 30,359445640010,$360.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/359445640010_00.jpg
Protos 2 G Granulado Sb 28,359445650059,$948.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/5/359445650059_00.jpg
"Chap Stick, Natural",3660096322,$28.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/6/3660096322_00.jpg
"Chap Stick, Cereza",3660096323,$28.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/6/3660096323_00.jpg
"Chap Stick, Fresa",3660096324,$28.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/6/3660096324_00.jpg
Utrogestan 100 Mg Caps 30,370003950002,$354.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/7/370003950002_00.jpg
Premastan Tb 80G,370003950003,$379.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/7/370003950003_00.jpg
Oestrogel Tb 80 G,370003950005,$428.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/7/370003950005_00.jpg
"Jeringa Desechable BD 10pzs, 31 x 8",38290320175,$51.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290320175_00.jpg
Jeringa Para Insulina .3Ml 31G X 6 Mm C1,38290324913,$43.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290324913_00.jpg
Jeringa Para Insulina Bd Caja 10 Pza 0.5,38290324914,$41.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290324914_00.jpg
Jeringa Para Insulina 1Ml 31G X 6 Mm C10,38290324915,$43.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290324915_00.jpg
"Jeringa Desechable BD 10pzs, 0.05",38290326779,$43.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290326779_00.jpg
Jeringa Bd 1Ml 30X13,38290670901,$4.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290670901_01.jpg
Jeringa Bd 5Ml 1 Pza 31X8,38290671301,$4.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/3/8/38290671301_00.jpg
Jabon Intimo Nivea Soothing Bdf Fco Liq,400580853855,$67.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/400580853855_00.jpg
Jabon Intimo Nivea Natural Bdf 1 Fco,400580853856,$67.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/400580853856_00.jpg
Pk Merz 100 Mg 30 Tab,400849131706,$344.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/400849131706_00.jpg
Rantudil Retard 90 Mg Caps 14,401933860515,$308.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/401933860515_00.jpg
Rantudilretard 90 Mg Caps 28,401933860516,$630.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/401933860516_00.jpg
Corneregel 5 & Gel Tbo 10 G,403057100038,$302.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/403057100038_00.jpg
Artelac Gts 10Ml,403571000662,$129.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/403571000662_00.jpg
Hepa Merz 3G 30 Sob,404622230161,$746.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/404622230161_00.jpg
Pantogar 90 Capsulas,404622274054,$675.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/0/404622274054_00.jpg
Panotos Jbe 100Ml,410448041210,$170.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/1/410448041210_00.jpg
Kanka Sol 0.3 Oz,4138828431,$112.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/1/4138828431_00.jpg
Termometro Digital Basico,471900300134,$49.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/4/7/471900300134_00.jpg
Avamys 2A Susp 27.5Ug Fco120 239,503343903421,$284.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/5/0/503343903421_00.jpg
Seretidediskus 50100Mg Dosis,503464202013,$658.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/5/0/503464202013_00.jpg
Seretidediskus 50250Mg Dosis,503464202175,$722.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/5/0/503464202175_00.jpg
Cinta Nexcare Waterproof Impermeable 1 P,5113166775,$84.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/5/1/5113166775_00.jpg
Asepxia C30 Caps,65024000097,$299.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000097_00.jpg
Cicatricure Gel 60G,65024000186,$276.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000186_00.jpg
Goicotabs C30 Tabletas,65024000246,$140.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000246_00.jpg
Genoprazol 20Mg C14 Caps,65024000395,$60.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000395_00.jpg
Genoprazol 20Mg C 7 Caps,65024000396,$44.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000396_00.jpg
Cicatricure Gel 30G,65024000397,$181.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000397_00.jpg
Asepxia Spot 28 Grs,65024000400,$64.55,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000400_00.jpg
Asepxia Toallitas 10 Antiinper,65024000422,$25.80,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000422_00.jpg
Dalay 30 Capsulas,65024000542,$160.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000542_02.jpg
Pointts 12 Aplic,65024000636,$361.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000636_02.jpg
Condones M Force & Multio,65024000662,$49.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000662_02.jpg
Ultra Bengue 35Gr,65024000664,$64.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000664_1.jpg
Medicasp Shampoo 130Ml,65024000701,"
                    $85.35                ",http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000701_00.jpg
Asepxia Gel 10%Gel 20 Grs,65024000704,$59.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000704_01.jpg
Silkamedic 15 G,65024000740,$49.40,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000740_00.jpg
Bio Electro 25025065 Mg 24 T,65024000765,$53.80,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000765_02.jpg
Dermoprada Antiverrugas 10Ml,65024000809,$119.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000809_00.jpg
Condon M Natural 3Pzas.,65024000951,$49.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000951_00.jpg
Condon M Texturizado 3 Pzas.,65024000952,$49.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024000952_00.jpg
Unigastrozol 7 Caps 20 Mg,65024001045,$49.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001045_01.jpg
Bengue Ultra Azul 65 G,65024001046,$110.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001046_00.jpg
Bengue Ultra Azul 35 G,65024001050,$64.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001050_00.jpg
Next Tabletas 10,65024001053,$24.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001053_00.jpg
Jarabe Tukol 125Ml,65024001071,$62.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001071_00.jpg
"Sh Derma Tio Nacho 415ml, Miel",65024001073,$90.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001073_00.jpg
Qg5 30 Tab,65024001113,$250.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001113_01.jpg
Shot B Ginseng 30 Cap,65024001117,$89.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001117_01.jpg
Unesia 20 G Crema,65024001135,$72.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001135_00.jpg
"Sh Derma Tio Nacho 415m, Miel manzanilla",65024001183,$90.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001183_00.jpg
Preserv Mforc 3 Pz Ult Sens,65024001252,$49.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001252_00.jpg
Gotas Devlyn 15Ml,65024001253,$69.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001253_1.jpg
Gotas Devlyn 15Ml,65024001254,$54.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001254_01.jpg
Alliviax 550Mg,65024001380,"
                    $53.80                ",http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001380_00.jpg
Unesia 90 G,65024001417,$38.70,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001417_01.jpg
Nasalub Solucion Adultor 30Ml,65024001536,$39.95,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001536_00.jpg
Tio Nacho Herbolaria Mexicana 415Ml,65024001567,$77.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001567_01.jpg
Nasalub Max 100Ml,65024001568,$139.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001568_00.jpg
Xl3 Xtra Antigripa Caja Con 12 Capsulas,65024001709,$37.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001709_00.jpg
Xl 3 Vr Caja Con 24 Tabletas,65024001710,$59.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/6/5/65024001710_00.jpg
